restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Hitchki,Restaurant,"Modern Indian,North Indian,Chinese,Momos,Biryani,Continental,American,Fast Food",4.9,1200,First International Financial Centre-- Bandra Kurla Complex,Mumbai
Baba Falooda,Restaurant,"Desserts,Ice Cream,Beverages",4.4,400,Mahim,Mumbai
Chin Chin Chu,Restaurant,"Asian,Chinese",4.2,1800,Juhu,Mumbai
Butterfly High,Restaurant,Modern Indian,4.3,1000,Bandra Kurla Complex,Mumbai
BKC  DIVE,Restaurant,"North Indian,Chinese,Continental",4.4,1200,Bandra Kurla Complex,Mumbai
Flea Bazaar Café,Restaurant,"American,Asian,Street Food,North Indian,Lucknowi,Mexican,Chinese,Italian",4.2,800,Flea Bazaar Café,Mumbai
Persian Darbar,Restaurant,"Biryani,North Indian,Chinese,Mughlai",4.5,1300,Marol,Mumbai
Tanatan,Restaurant,Modern Indian,4.7,1500,Juhu,Mumbai
Cafe Safar,Restaurant,"Chinese,North Indian,Biryani",4.0,600,Oshiwara-- Andheri West,Mumbai
Plum by Bent Chair,Restaurant,Asian,4.7,1800,Kamala Mills Compound,Mumbai
Angrezi Dhaba,Restaurant,"North Indian,Chinese,Thai,European",4.5,1500,Dadar West,Mumbai
Raasta,Restaurant,"Continental,Seafood,Fast Food,Desserts,Italian,Finger Food",4.0,1200,Khar,Mumbai
Todi Mill Social,Restaurant,"American,North Indian,Chinese,Fast Food,Continental,Asian,Beverages",4.6,1400,Lower Parel,Mumbai
Burn - Bar & Kitchen,Restaurant,"Continental,Mexican,Italian,Chinese",4.1,1100,Bandra Kurla Complex,Mumbai
145 Bandra,Restaurant,"Mexican,American,Desserts,European,Modern Indian",4.2,1300,Pali Hill-- Bandra West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Cafe Zoe,Restaurant,"European,Italian,Burger,Salad,Healthy Food",4.1,2000,Lower Parel,Mumbai
Ustaadi,Restaurant,"Asian,Biryani,Chinese,North Indian,Mughlai,Middle Eastern",4.3,1200,Mumbai CST Area,Mumbai
Cafe Maaz,Restaurant,"Chinese,North Indian,Mughlai,Biryani,Seafood",4.0,350,Bhandup,Mumbai
Carter's Blue,Restaurant,"North Indian,Lebanese,Fast Food,Chinese",3.9,900,Malad West,Mumbai
Rajasthan,Restaurant,"North Indian,Mughlai,Chinese,Fast Food",3.8,700,Khar,Mumbai
Harry's Bar + Cafe,Restaurant,"Asian,Mexican,American",4.0,1500,Powai,Mumbai
New Ajwa Family Restaurant,Restaurant,"North Indian,Chinese,Mughlai,Kebab,Desserts",4.4,500,Marol,Mumbai
Singh Saab,Restaurant,"North Indian,Asian",4.5,1600,Chembur,Mumbai
Kasbah Grand,Restaurant,"North Indian,Mughlai,Chinese,Thai,Seafood",4.0,1400,Goregaon West,Mumbai
Elementaria Bakery Cafe,Restaurant,"Cafe,Desserts,Sandwich",4.1,800,Lower Parel,Mumbai
Angrezi Patiyalaa,Restaurant,"North Indian,Finger Food,American,Mexican,Chinese",4.5,1200,Andheri Lokhandwala-- Andheri West,Mumbai
Door No.1,Restaurant,"Asian,Italian,North Indian,Finger Food",4.4,1500,Reclamation-- Bandra West,Mumbai
Natural Ice Cream,Restaurant,"Desserts,Ice Cream",4.3,150,Vile Parle East,Mumbai
Punjab Grill,Restaurant,"North Indian,Mughlai,Beverages",4.4,2000,Palladium Mall-- Lower Parel,Mumbai
Locco Eatery & Bar,Restaurant,"North Indian,Continental,Lebanese,Italian",4.3,1400,CBD-Belapur,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Hotel Annapoorna Refreshments,Restaurant,"Maharashtrian,Mughlai,Chinese",-,400,Ghansoli,Mumbai
Breadkart,Restaurant,Fast Food,3.6,400,Borivali West,Mumbai
Biryani 9,Restaurant,"Biryani,North Indian",NEW,600,Near Andheri East Station,Mumbai
The Lemon Grass,Restaurant,"North Indian,Chinese",3.4,300,Vasai,Mumbai
D Fusion Flavours,Restaurant,Chinese,NEW,350,Goregaon East,Mumbai
Chote Nawab,Restaurant,"North Indian,Chinese",4.0,550,Chembur,Mumbai
Hari Om Sai,Restaurant,"Beverages,Fast Food",3.4,300,Castle Mill-- Thane West,Mumbai
Nation Tadka,Restaurant,"North Indian,South Indian,Chinese,Fast Food",-,400,Worli,Mumbai
Persian Hub Family Restaurant,Restaurant,"Chinese,Mughlai,North Indian,Iranian",3.0,450,Malad West,Mumbai
Magdalena,Restaurant,"Bakery,Desserts",3.4,500,Parel,Mumbai
United Food Nation,Restaurant,"Fast Food,Burger,American,Beverages",4.1,500,Vasant Vihar-- Thane West,Mumbai
Frisbees,Restaurant,"Fast Food,American,Burger",4.3,600,Andheri Lokhandwala-- Andheri West,Mumbai
Bombay Vintage,Restaurant,"North Indian,South Indian,Maharashtrian",4.2,1300,Colaba,Mumbai
Arya Bhavan,Restaurant,"South Indian,Fast Food",4.0,400,Nariman Point,Mumbai
Chaubara 601,Restaurant,North Indian,4.2,1000,Naupada-- Thane West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Queen Margherita's Pizzeria,Restaurant,"Pizza,Fast Food",4.5,600,Malad West,Mumbai
The Burger Brasserie,Restaurant,"Cafe,Fast Food,Burger,Beverages",4.4,650,Andheri Lokhandwala-- Andheri West,Mumbai
Spice Republic,Restaurant,"Cafe,Continental,Mediterranean,Mexican,Italian,Chinese,Modern Indian,Fast Food",4.6,1200,Borivali West,Mumbai
Fleur - The Fern Goregaon,Restaurant,"Thai,Continental,North Indian",4.2,1200,Goregaon East,Mumbai
Cat Café Studio,Restaurant,"Cafe,Beverages",4.2,300,Versova-- Andheri West,Mumbai
Thotrin Cafe,Restaurant,"North Eastern,Chinese",4.2,650,Santacruz East,Mumbai
Udipi Vihar,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.8,450,Goregaon East,Mumbai
B MAD - The Restaurant,Restaurant,"North Indian,Italian,Mexican,Lebanese",4.2,1200,Mulund West,Mumbai
Landmark Restaurant Veg Diet,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.9,700,Malad West,Mumbai
Matka Khichdi,Restaurant,North Indian,4.1,400,Marol,Mumbai
Aavakay,Restaurant,"Andhra,South Indian",4.3,1000,Kandivali East,Mumbai
