restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
AB's - Absolute Barbecues,Restaurant,"Continental, North Indian, Chinese",4.9,1400.0,Hinjawadi,Pune
Cafe Co2 Resto Lounge,Restaurant,"North Indian, Chinese, Continental, Kebab, Seafood",4.6,1500.0,Bhugaon,Pune
Paasha - JW Marriott Pune,Restaurant,"North Indian, Kebab, Biryani",4.6,2500.0,Senapati Bapat Road,Pune
I Amsterdam,Restaurant,"Asian, European, Modern Indian, Italian",4.3,1400.0,Hinjawadi,Pune
FC Road Social,Restaurant,"North Indian, Chinese, Biryani, American, Continental",4.5,1500.0,Shivaji Nagar,Pune
Flechazo,Restaurant,"Asian, Mediterranean, North Indian",4.6,1400.0,Wakad,Pune
Barbeque Nation - Sayaji Hotel,Restaurant,"North Indian, Mughlai, Salad, Kebab, BBQ",4.5,1700.0,Wakad,Pune
BeHive,Restaurant,"North Indian, Chinese, Continental",4.0,1400.0,Hinjawadi,Pune
Kayani Bakery,Restaurant,Bakery,4.7,150.0,East Street,Pune
Exotica,Restaurant,"North Indian, Chinese, Mediterranean, Continental",4.2,1400.0,Yerawada,Pune
Planet 9,Restaurant,"North Indian, Mughlai, Biryani",4.6,1500.0,Bavdhan,Pune
Toit,Restaurant,"Modern Indian, American, Italian",4.6,1500.0,Kalyani Nagar,Pune
Smoky Beach,Restaurant,"Chinese, Continental, North Indian, Italian",4.2,1300.0,Bhugaon,Pune
Barbeque Ville,Restaurant,"North Indian, BBQ",4.4,1000.0,Wakad,Pune
Thorat's Baarbeque Misal,Restaurant,Street Food,4.0,250.0,Narhe,Pune
2BHK Diner & Key Club,Restaurant,"North Indian, Mediterranean, European, Finger Food",4.2,1800.0,Bund Garden Road,Pune
The Mafia,Restaurant,"North Indian, Continental, Asian, Italian",4.1,1500.0,Viman Nagar,Pune
The Cult - Terra,Restaurant,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",4.4,1700.0,Magarpatta,Pune
Le Plaisir,Restaurant,"European, Italian, Continental",4.7,1000.0,Deccan Gymkhana,Pune
Teritree,Restaurant,"North Indian, Chinese, Continental",3.7,1600.0,Hadapsar,Pune
Sukanta,Restaurant,"Gujarati, North Indian, Maharashtrian",4.1,700.0,Deccan Gymkhana,Pune
Tarsh Gastronomia,Restaurant,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ",4.4,1500.0,Hinjawadi,Pune
TTF - The Tenth Floor,Restaurant,"North Indian, Continental, Finger Food",4.4,1500.0,Baner,Pune
The Barkhana,Restaurant,"North Indian, Continental, Chinese",4.7,1700.0,Wakad,Pune
Publiq,Restaurant,"Bar Food, Asian, North Indian, Italian",4.0,1600.0,Hinjawadi,Pune
Atmosphere 6,Restaurant,"North Indian, Continental, Chinese, Italian, Salad",4.0,1700.0,Viman Nagar,Pune
Aroma's Hyderabad House,Restaurant,"Biryani, North Indian, Mughlai, Chinese",4.1,900.0,Viman Nagar,Pune
The Ruby Hilltop - Sunny's World,Restaurant,"North Indian, Chinese, Italian, Continental",4.4,1300.0,Sus,Pune
The FML Lounge,Restaurant,"North Indian, Mughlai, Chinese",4.3,1500.0,Hinjawadi,Pune
Mi-a-Mi - JW Marriott Pune,Restaurant,Finger Food,4.3,2500.0,Senapati Bapat Road,Pune
Spice Factory,Restaurant,"North Indian, Italian, Chinese",4.0,2000.0,Hinjawadi,Pune
Hotel Jagdamba,Restaurant,"Maharashtrian, North Indian",4.4,600.0,Shivapur,Pune
The Urban Foundry,Restaurant,"Bar Food, North Indian, Asian, Fast Food",4.5,1500.0,Baner,Pune
The Secret Garden,Restaurant,"North Indian, Continental, Italian",0.0,1400.0,Mundhwa,Pune
Universal Barbeque,Restaurant,"BBQ, North Indian, Chinese",4.5,1200.0,Hinjawadi,Pune
Smoke On The Water,Restaurant,"North Indian, Continental, Asian, Mughlai, Chinese",4.0,1300.0,Bhugaon,Pune
Surve's Pure Non-Veg,Restaurant,Maharashtrian,4.2,550.0,FC Road,Pune
Urbo,Restaurant,"Italian, Continental, Chinese, Asian, North Indian",4.1,1700.0,Baner,Pune
Spice Kitchen - JW Marriott Pune,Restaurant,"Italian, Asian, North Indian, South Indian, European",4.4,2200.0,Senapati Bapat Road,Pune
Barometer,Restaurant,"Continental, Asian, Italian, North Indian, Finger Food, Fast Food",4.5,1500.0,Kothrud,Pune
Cafe Goodluck,Restaurant,"North Indian, Mughlai, Malwani, Fast Food, Street Food",4.2,600.0,Deccan Gymkhana,Pune
